"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000VERN","1991","40.0989","-112.4269","1676.4","VERNON VERNON 10 N UTAH, UT US","306.4","","306.4","U","8","U","175","U","17","U","144","U","30","U","-20.6","U,0130,","36.7","U,0705,","0.0","U,1004","-3.3","U,1021","-4.4","U,1024","-8.9","U,1028","-8.9","U,1028","-1.1","U,0519","-3.9","U,0505","-4.4","U,0414","-9.4","U,0409","-9.4","U,0409","","","","","8.61","U","16.41","U","0.81","U"
"USR0000VERN","1992","40.0989","-112.4269","1676.4","VERNON VERNON 10 N UTAH, UT US","316.1","","316.1","U","7","U","163","U","16","U","162","U","29","U","-19.4","U,1220,","36.7","U,0812,","-0.6","U,1004","-4.4","U,1007","-4.4","U,1007","-6.7","U,1104","-10.0","U,1111","0.0","U,0502","-3.3","U,0424","-5.0","U,0407","-7.8","U,0212","-8.9","U,0124","3313.0","","3313.0","U","9.87","U","17.94","U","1.80","U"
"USR0000VERN","1994","40.0989","-112.4269","1676.4","VERNON VERNON 10 N UTAH, UT US","443.1","","443.1","U","3","U","171","U","19","U","151","U","57","U","-18.9","U,1209,","37.8","U,0804,","-0.6","U,1008","-5.0","U,1029","-5.0","U,1029","-7.8","U,1030","-10.6","U,1103","-1.7","U,0521","-3.3","U,0430","-5.0","U,0408","-7.2","U,0330","-13.3","U,0323","3607.0","","3607.0","U","9.80","U","17.86","U","1.74","U"
"USR0000VERN","1995","40.0989","-112.4269","1676.4","VERNON VERNON 10 N UTAH, UT US","290.1","","290.1","U","4","U","190","U","3","U","127","U","38","U","-20.0","U,1227,","37.8","U,0729,+","-2.8","U,0921","-2.8","U,0921","-4.4","U,0922","-6.7","U,1006","-10.6","U,1023","-0.6","U,0617","-3.9","U,0513","-5.6","U,0416","-7.8","U,0331","-8.9","U,0328","3681.7","","3681.7","U","9.34","U","17.54","U","1.14","U"
"USR0000VERN","1996","40.0989","-112.4269","1676.4","VERNON VERNON 10 N UTAH, UT US","315.8","","315.8","U","8","U","188","U","15","U","150","U","50","U","-24.4","U,0203,","37.8","U,0812,","0.0","U,0917","-2.2","U,0918","-10.0","U,1017","-10.0","U,1017","-10.0","U,1017","-2.2","U,0524","-2.2","U,0524","-7.8","U,0429","-7.8","U,0429","-10.6","U,0301","3500.2","","3500.2","U","9.18","U","17.68","U","0.68","U"
"USR0000VERN","1997","40.0989","-112.4269","1676.4","VERNON VERNON 10 N UTAH, UT US","307.8","","307.8","U","8","U","179","U","26","U","151","U","29","U","-23.3","U,0117,","36.7","U,0715,","-2.2","U,1008","-2.2","U,1008","-5.0","U,1013","-6.7","U,1026","-9.4","U,1114","0.0","U,0508","-5.0","U,0502","-5.0","U,0502","-9.4","U,0413","-9.4","U,0413","3706.1","","3706.1","U","8.89","U","16.76","U","1.01","U"
"USR0000VERN","1998","40.0989","-112.4269","1676.4","VERNON VERNON 10 N UTAH, UT US","312.4","","312.4","U","6","U","184","U","16","U","133","U","41","U","-26.1","U,1223,","40.0","U,0719,","-2.8","U,1004","-2.8","U,1004","-5.0","U,1005","-7.2","U,1106","-10.6","U,1110","0.0","U,0611","-2.8","U,0527","-8.3","U,0418","-8.3","U,0418","-9.4","U,0317","3804.4","","3804.4","U","8.74","U","16.56","U","0.92","U"
"USR0000VERN","1999","40.0989","-112.4269","1676.4","VERNON VERNON 10 N UTAH, UT US","290.1","","290.1","U","1","U","198","U","7","U","161","U","40","U","-18.3","U,0128,","37.8","U,0706,","-0.6","U,0926","-3.9","U,0927","-5.0","U,0929","-8.9","U,1017","-8.9","U,1017","-4.4","U,0517","-4.4","U,0517","-4.4","U,0517","-10.0","U,0416","-10.0","U,0416","3725.9","","3725.9","U","9.28","U","18.22","U","0.33","U"
"USR0000VERN","2000","40.0989","-112.4269","1676.4","VERNON VERNON 10 N UTAH, UT US","424.2","","424.2","U","0","U","179","U","8","U","158","U","55","U","-16.7","U,0106,","38.9","U,0731,","-1.1","U,0923","-2.8","U,0924","-5.0","U,1102","-7.8","U,1104","-8.9","U,1107","0.0","U,0514","-2.8","U,0513","-4.4","U,0512","-8.3","U,0401","-8.9","U,0320","3298.3","","3298.3","U","9.89","U","18.10","U","1.69","U"
"USR0000VERN","2001","40.0989","-112.4269","1676.4","VERNON VERNON 10 N UTAH, UT US","","","","","5","U","155","U","17","U","166","U","56","U","-21.7","U,1226,","39.4","U,0704,","0.0","U,0908","-6.1","U,1009","-6.1","U,1009","-7.8","U,1024","-11.1","U,1126","-1.7","U,0614","-3.9","U,0613","-4.4","U,0504","-6.7","U,0227","-11.7","U,0215","","","","","10.29","U","18.37","U","2.20","U"
"USR0000VERN","2002","40.0989","-112.4269","1676.4","VERNON VERNON 10 N UTAH, UT US","410.8","","410.8","U","4","U","192","U","14","U","148","U","51","U","-22.2","U,0130,","42.2","U,0713,","-0.6","U,1011","-3.3","U,1012","-5.6","U,1013","-7.8","U,1030","-8.9","U,1031","-4.4","U,0610","-4.4","U,0610","-4.4","U,0610","-8.9","U,0508","-8.9","U,0508","3651.8","","3651.8","U","9.06","U","17.51","U","0.62","U"
"USR0000VERN","2004","40.0989","-112.4269","1676.4","VERNON VERNON 10 N UTAH, UT US","294.4","","294.4","U","13","U","162","U","23","U","156","U","50","U","-20.0","U,0213,+","36.1","U,0810,+","0.0","U,0905","-2.8","U,0922","-7.8","U,1101","-7.8","U,1101","-8.9","U,1122","0.0","U,0530","-3.9","U,0524","-6.7","U,0429","-6.7","U,0429","-12.2","U,0301","3592.3","","3592.3","U","9.06","U","17.45","U","0.68","U"
"USR0000VERN","2005","40.0989","-112.4269","1676.4","VERNON VERNON 10 N UTAH, UT US","343.9","","343.9","U","8","U","187","U","9","U","144","U","57","U","-22.2","U,1208,","40.6","U,0713,","0.0","U,0831","-2.2","U,0925","-5.6","U,1005","-7.8","U,1112","-8.9","U,1113","-0.6","U,0610","-2.8","U,0422","-5.0","U,0416","-7.8","U,0415","-9.4","U,0315","3592.3","","3592.3","U","9.37","U","18.09","U","0.65","U"
"USR0000VERN","2006","40.0989","-112.4269","1676.4","VERNON VERNON 10 N UTAH, UT US","410.2","","410.2","U","9","U","184","U","15","U","148","U","67","U","-20.6","U,1220,+","39.4","U,0717,","-1.7","U,0917","-3.3","U,0918","-6.7","U,1022","-6.7","U,1022","-9.4","U,1101","-0.6","U,0530","-5.0","U,0529","-5.0","U,0529","-7.8","U,0419","-12.8","U,0313","3482.9","","3482.9","U","9.47","U","18.29","U","0.65","U"
"USR0000VERN","2007","40.0989","-112.4269","1676.4","VERNON VERNON 10 N UTAH, UT US","519.5","","519.5","U","15","U","189","U","23","U","160","U","68","U","-25.0","U,0114,","38.9","U,0714,","-0.6","U,0924","-2.8","U,0925","-6.7","U,0930","-6.7","U,0930","-11.1","U,1121","0.0","U,0608","-2.2","U,0523","-5.0","U,0522","-8.9","U,0411","-8.9","U,0411","3657.7","","3657.7","U","9.81","U","18.75","U","0.88","U"
"USR0000VERN","2008","40.0989","-112.4269","1676.4","VERNON VERNON 10 N UTAH, UT US","370.4","","370.4","U","5","U","197","U","17","U","147","U","60","U","-21.7","U,0101,","38.3","U,0726,","0.0","U,0923","-3.9","U,1010","-5.6","U,1012","-7.8","U,1013","-10.6","U,1106","0.0","U,0612","-2.8","U,0513","-6.7","U,0503","-6.7","U,0503","-8.9","U,0425","3981.9","","3981.9","U","8.63","U","17.38","U","-0.13","U"
"USR0000VERN","2009","40.0989","-112.4269","1676.4","VERNON VERNON 10 N UTAH, UT US","314.8","","314.8","U","14","U","187","U","17","U","153","U","58","U","-25.6","U,1209,","38.9","U,0723,+","0.0","U,0816","-5.0","U,1001","-5.0","U,1001","-6.7","U,1006","-12.8","U,1115","-0.6","U,0516","-3.3","U,0509","-5.6","U,0427","-7.2","U,0331","-10.0","U,0327","3466.8","","3466.8","U","8.98","U","17.96","U","0.00","U"
"USR0000VERN","2010","40.0989","-112.4269","1676.4","VERNON VERNON 10 N UTAH, UT US","361.6","","361.6","U","5","U","186","U","8","U","146","U","57","U","-24.4","U,1125,+","39.4","U,0716,","0.0","U,0906","-3.3","U,1013","-4.4","U,1027","-6.7","U,1112","-12.8","U,1123","-1.7","U,0617","-2.2","U,0508","-7.8","U,0507","-7.8","U,0507","-10.0","U,0404","3853.5","","3853.5","U","9.41","U","17.57","U","1.26","U"
"USR0000VERN","2011","40.0989","-112.4269","1676.4","VERNON VERNON 10 N UTAH, UT US","346.4","","346.4","U","7","U","190","U","17","U","143","U","52","U","-25.0","U,0101,","38.9","U,0824,","0.0","U,1006","-3.9","U,1018","-5.0","U,1026","-8.9","U,1027","-8.9","U,1027","0.0","U,0603","-3.9","U,0505","-5.6","U,0501","-8.9","U,0404","-8.9","U,0404","3730.1","","3730.1","U","8.73","U","17.13","U","0.33","U"
"USR0000VERN","2012","40.0989","-112.4269","1676.4","VERNON VERNON 10 N UTAH, UT US","429.8","","429.8","U","5","U","171","U","14","U","165","U","61","U","-20.0","U,1220,+","38.9","U,0711,","-2.2","U,1004","-2.2","U,1004","-5.0","U,1007","-9.4","U,1026","-9.4","U,1026","-3.3","U,0610","-3.3","U,0610","-5.0","U,0428","-12.2","U,0407","-12.2","U,0407","3387.0","","3387.0","U","10.27","U","18.93","U","1.61","U"
"USR0000VERN","2013","40.0989","-112.4269","1676.4","VERNON VERNON 10 N UTAH, UT US","414.1","","414.1","U","27","U","195","U","38","U","133","U","51","U","-27.2","U,1205,","38.3","U,0629,+","-1.1","U,0927","-3.3","U,0928","-5.6","U,1005","-6.7","U,1104","-8.9","U,1105","-1.1","U,0524","-3.3","U,0503","-7.2","U,0502","-7.2","U,0502","-10.6","U,0325","3838.2","","3838.2","U","8.13","U","16.30","U","-0.05","U"
"USR0000VERN","2014","40.0989","-112.4269","1676.4","VERNON VERNON 10 N UTAH, UT US","332.1","","332.1","U","7","U","172","U","12","U","158","U","35","U","-23.9","U,1231,","37.8","U,0714,","-1.7","U,1002","-3.3","U,1013","-7.2","U,1028","-7.2","U,1028","-8.9","U,1104","-0.6","U,0618","-2.8","U,0514","-6.1","U,0513","-9.4","U,0323","-9.4","U,0323","3759.0","","3759.0","U","9.75","U","18.02","U","1.47","U"
"USR0000VERN","2015","40.0989","-112.4269","1676.4","VERNON VERNON 10 N UTAH, UT US","382.4","","382.4","U","7","U","161","U","16","U","155","U","41","U","-25.0","U,1227,","38.3","U,0629,+","-3.3","U,1027","-3.3","U,1027","-5.6","U,1105","-7.8","U,1107","-11.1","U,1117","-1.1","U,0516","-2.2","U,0418","-4.4","U,0415","-7.8","U,0404","-10.0","U,0305","3246.8","","3246.8","U","10.17","U","18.28","U","2.06","U"
"USR0000VERN","2017","40.0989","-112.4269","1676.4","VERNON VERNON 10 N UTAH, UT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3449.8","","3449.8","U","","","","","",""
